用户,评论内容,点赞数,评论时间,观点分类
小圆大馒头,弹幕贼逆天，还说up避重就轻[喜极而泣]纯大聪明集合体，官方书面都没出来，但是官方确定的是这个司机喝酒了，所以呼吁大家遵纪守法不是对的么[喜极而泣]咋就成了他嘴里的避重就轻,5,2025-10-18 05:46:58,支持
ScorpionR81,3：30秒左右，超哥你再看看自己说了啥？！！目前哪个电动车车门外门把手是是跟粗粮一样的微动开关，你倒是举个例啊，别上来就不止粗粮，其他很多？！！ 作为马上百大的电台节目主持人，嗓门大就就是对了，就有理了？粉丝越多，说话越是要严谨的,31,2025-10-18 01:20:03,支持
伪人累总,说当时就撞死的，这种撞击力度气囊为啥没出来[难过],6019,2025-10-15 20:30:49,支持
Modi老仙,牢翔:多谢各位米粉还我清白，感恩。[给心心],52,2025-10-16 15:07:57,支持
怎么看也看不懂,人家都黑到这份上了，雷军还是豁不出去啊。换我就魔法对轰，直接说“车祸后车门打不开就是车的问题，我的小米车可以保证只有在150码以上撞了才打不开，谋车60码怼公交，人死了门还打不开，换你买哪个？”这样的话。谋些车跟某些人不都直接炸了么？,3,2025-10-17 08:50:10,支持
2015,UP主言论记录： 涉嫌酒驾——人肯定有问题。 门变形了吗——不知道啊。 视频里没显示司机任何画面，但UP说“人绝对有问题”。 视频里车门看不出任何形变，...,10,2025-10-17 22:41:32,支持
ma45900,在别处看到的 “小米对酒驾零容忍”[呲牙],372,2025-10-15 20:10:50,支持
美情笑,这门子设计的外面的人想救都救不了！,2,2025-10-15 20:01:37,中立
头顶荷包蛋的小黄,小米汽车的机械拉手在车门里面，也搞不懂为什么要这么设计，直接在外面用机械门把手不好吗？真出事儿了，一个是不方便把身子伸到车里面去拉机械拉手，另外也不是谁都知道机械拉手在哪个位置啊[笑哭],2,2025-10-17 20:07:25,反对
达斯-温杜,这是国庆当天，在长沙以北的主干道，一辆车横向冲出路面，撞断3棵饭碗粗的树后停下的车祸现场，我是第一个抵达现场的。前排两人昏迷，无法判断有没有骨折，直接拉开车门通风，后排有个小孩还清醒着，额头撞了个包，在他配合下让我抱了出来。,1012,2025-10-16 16:12:36,支持
羲帅,超哥是不是忘了说小米的车不弹气囊的事 撞击力度那么大一个气囊都不弹？,2,2025-10-18 12:37:05,支持
伝説の超超-official,200km/h瞬间刹停呢，救一下啊,550,2025-10-16 01:50:58,反对
轨道-痕迹-消失,[tv_冷漠][tv_冷漠][tv_冷漠]车的致命安全缺陷隐患问题也逃不了 一发生事故车门就打不开 就算外面的路人想救也救不了啊,41,2025-10-16 08:04:59,反对
哈库拉玛嗒挞嗒,不成熟的人开不成熟的车，成熟的了,2,2025-10-15 20:18:30,支持
康斯坦丁-马卡利齐,带节奏的没意思。现在可以证实的是，司机酒驾，汽车开到时速100KM以上，发生碰撞翻转，车门或周边框架变形，甭说电车，任何车徒手都打不开，无论从外从里，除非消防破拆工具。唯一可喷的是电车大事故后起火的概率比油车高，且不易被扑灭。但现在全世界在固态电池普及前，电车都一样，除非你不开电车。,3,2025-10-22 12:59:07,支持
Power派森,你深度分析了什么我就问？,3,2025-10-17 23:59:44,支持
拿皮特命换方大同,优雅,1176,2025-10-16 07:58:27,中立
龙城流觞,其实你懂的,271,2025-10-16 05:02:12,支持
你爱罗,引用自阿森评论区： 其实隐藏式门把手应该这么分类 1.机械撬棍类：modely和model3使用，纯机械翘起，需要人手动撬开门把手，但疑似是微动开关。已有视频证明断电可能无法外部开启 2.电动门把手：可以分为全弹出和撬棍类，是最主流的方案。都是解锁自动弹出，弹出后就是个机械门把手。如果断电没能弹出，也可以当撬棍类来用，按一头拉另一头也能当机械把手用。“开门”这个过程仍然是机械的。缺点是外面的救援人员不一定知道这个方法 3.半隐藏类：要么兼具机械和电动开关，比如问界m8那种，要么就是五菱宏光上那种纯机械。都可以直接拉开。目前最优解 4.纯逆天类：长的像个半隐藏，实际上是个微动开关，没有任何机械结构，一旦断电没有任何车外开启的可能性。解决了汽车工业140年没有这种逆天设计的空白,546,2025-10-15 20:29:50,反对
15年老号,[呲牙],125,2025-10-16 10:22:36,中立
进击滴王尼玛,00:06 都有问题[幻星乐园动态表情包_无语],15,2025-10-15 20:20:48,支持
雨飘霖,有预言家预言成真，但消耗了一条人命！,699,2025-10-16 00:29:01,支持
问绮风007,我们都错怪翔翔了，原来撞车了是真打不开车门[笑哭],224,2025-10-16 15:55:02,反对
蜡笔老jo,有的是物理机械的隐藏把手，用电动开关纯粹是为了节约成本,207,2025-10-16 07:18:57,反对
real昊也,3:28 并非有一批都是这副德行，纯微动开关的仅此一家，别家虽然是隐藏门把手但都保留了机械结构。,1336,2025-10-15 23:46:57,反对
V小伙,你看，超哥的视频没被举报下架的原因就是文稿上面做足了安全冗余设计[doge][doge][doge],451,2025-10-18 20:59:20,支持
桌紫布齐邓紫棋,虚假宣传的100多码aeb，虚假宣传200公里瞬间刹停，虚假宣传的智驾第一梯队结果国家介入发现大规模安全质量问题，虚假宣传.... 欢迎米粉补充[OK],280,2025-10-15 22:31:06,反对
煌黑级小电视,搞笑的是“安全是最大的豪华”王总早在几年就说了，现在才天天提起来说[doge],210,2025-10-16 17:01:35,支持
超级无敌原神体育生,之前我说200匹开不明白就上三四百匹，五六百匹甚至上千匹一定会出事，现在我觉得我错了，大部分人160匹都开不明白就上大马力了[笑哭]你要知道，拓海用250匹的86干爆了高桥的gtr，而你，我的朋友，你开1000匹马力的s7u可能第一个弯就掉下去了,195,2025-10-15 23:20:12,支持
周师父思钱想厚,别听米系kol说的，什么160时速200时速撞的，现场视频照片都有，多看看，前大灯都没碎，车头没有溃缩，机盖完整，ab柱没有形变，安全气囊都没弹，再多搜搜160时速的车祸视频多看看，撞完以后车是个什么状态，解体的都一大把。,522,2025-10-16 10:36:55,支持
厚礼蟹_谢Bro,该喷的不应该是为了省成本不搞机械门把手吗，一个个都在说超哥的视频被ota，这些是选择性看不见？https://b23.tv/BV1dx48zcELD https://b23.tv/BV19848ztEjy https://b23.tv/BV1eUpfzPEWC https://b23.tv/BV1VzfNYZEgD https://b23.tv/BV1UqfgYeE29 https://b23.tv/BV13NdnY4E9D,2,2025-10-15 21:06:10,反对
您可别烦我,怎么一直补档？,2009,2025-10-15 20:02:17,中立
食粥鸟,呃…就问问啊，人都烧没了，怎么知道或者确定酒驾没酒驾呢,112,2025-10-16 22:39:23,支持
把一件事做到最好,这下真成Xiaomi发烧友了[笑哭],1333,2025-10-15 22:01:55,中立
sunwellaki,赞美太阳☀,63,2025-10-15 23:06:58,中立
不喜欢有生之年系列,他就算酒驾 也有权利活着 而不是被活活烧死[生气],207,2025-10-15 20:05:54,中立
人生见舍得,抖音都ota差不多，车没问题怕啥，还ota。 不是有端到端驾驶辅助吗？ 哦对哦，上次三人就使用端到端辅助走了。 现在这个没使用端到端，包括平潭掉海。 都怀疑端到端，所以不使用。 自己手动开跟端到端差不多。 那这车值只能追求速度，最后速度把自己送走了。 这是多么讽刺的结果。,122,2025-10-15 20:41:19,支持
大师级猛禽德鲁伊,建议上车前增加酒驾检测，人脸识别吹一下，不酒驾才能启动。,237,2025-10-15 20:38:49,支持
重生之我在幼儿园炼金,猜猜是谁家的M7出了事故7天内公布调查结果 猜猜是谁家的S*7出了事故ota视频[doge],85,2025-10-15 20:32:22,支持
青空XL,喝酒是出事故的原因，但是死人不是,453,2025-10-16 09:48:32,支持
好汉饶命口丫,高，实在是高,97,2025-10-16 04:34:36,中立
Stephen雪,准确的说应该是：就算是酒驾，也有权利先活着接受审判和处罚。不过这次事故酒驾+超速+风味门把手+风味机盖+冲上绿化带+电池起火也算是各项米车buff集合了，不过之前帕萨特断a柱闹那么大也坚挺了一年多才让销量降下去，我觉得在累总的善意营销下下这牌子肯定还会活下去的，至于下次事故发生在什么时候就不知道咯,246,2025-10-15 20:09:43,支持
长空万里破秋雁,最致命的是打不开车门，别人想救你都来不及 而且看图片，烧完了的时候，大梁柱子，基础车身完全没大幅度变形啊,44,2025-10-21 12:34:52,支持
逗土豆吐豆,门把手一定要能开门🙌🏻,86,2025-10-17 10:41:08,反对
zwxdogs,为啥不直接搞机械的门把手就完事儿了，电动门把手有啥好的,569,2025-10-15 22:32:36,支持
龙猫喵苗,撞击力度大导致的—— 那你气囊是摆设看戏的？ 一根筋两头堵了吧[吃瓜],59,2025-10-16 08:00:15,支持
巨型派大超,如果救出来了，那就是人的问题。现在人死了，那就是车的问题,3,2025-10-16 01:52:33,支持
leijiu9999,他们只会想象速度超过150，超过200，可是连车牌都没有变形，他们不会相信的。。。这和现场救人的小伙子描述一致的。。。他们只会相信虎嗅网的“翻滚”，相信中国新闻周刊记者的“第一现场”，真的是无语了。,222,2025-10-16 10:57:05,支持
错误的时之虫,安全,80,2025-10-26 00:59:40,反对
驴达的货,[脱单doge],53,2025-10-19 14:03:25,中立
小柒子i,车门能不能开，跟酒驾有啥关系？🤣,2,2025-10-20 11:42:22,支持
nice2米兔,挺好的，少了一个酒驾危害社会的混蛋，也让新能源汽车的安全性让社会高度关注,3,2025-10-16 11:59:18,支持
张北固,助我破鼎!!!给~~破~~~,2,2025-10-18 00:15:10,中立
半糖少加糖,山西问界燃烧，打不开车门，HUAWEI公司怎么还没出通报？,2,2025-10-17 12:08:44,反对
累了的首富,不懂就问，碰撞现场视频显示ab柱甚至车灯都是完好的，官方也根本没有公布过碰撞时车速视频，米粉们是怎么意淫出的200碰撞车速？,19,2025-10-16 13:04:43,支持
Vsfssggdv,总结： 人不行 ，车也不行[doge],65,2025-10-16 09:28:15,支持
爱自驾的9527,咱这把手不也挺帅的吗[吃瓜],6,2025-10-16 18:34:12,反对
1121121546,@小米法务,1,2025-10-18 10:09:06,中立
晚梦拾遗,人车都有问题,1,2025-10-17 21:20:14,支持
鱼已愚,当天晚上代价群里直接传开了 就是喝酒了的,1,2025-10-16 23:08:58,支持
精进每医天,一惊一乍,1,2025-10-16 13:33:35,中立
万青Black11,应该庆幸的是他喝了酒没有给其他生命带来危险，这很好了,1,2025-10-16 13:18:44,支持
哒咩哒咩哒咩哟丶,超哥说的对，有的东西个性不了，也不该个性，消防验收从来不允许消火栓出现红色以外的任何颜色，有谁非要成天拿消火栓不好看说事么,1,2025-10-16 12:00:07,支持
廣州偆袋哥,@雷军 累总，出来讲两句[doge_金箍],1,2025-10-16 11:30:53,支持
YOU鬼迷日眼,不是有个电池弹射吗，没开会员吧,1,2025-10-16 11:14:37,支持
sunbuny,哥么有个更绝望的视频，车门变形，人还活着，趴在窗口车起火旁边人拉不出来只能眼睁睁的看着一条生命去世,1,2025-10-16 10:35:46,支持
孤中意舟呢,我没有接触过小米汽车，我家做小米手机的，不过早就没做了。小米确定便宜，符合部分年轻人的消费水平和需求，在国产品牌手机里面，小米、红米的返修率、故障率是最高的，我自己也用过一款老红米，我没出现过啥问题，但是综合下来厂商、经销商、出问题的顾客都对反反复复的小问题感到头大。也不懂为啥要吹小米，做产品讲究性价比，质量垃圾就是垃圾。12年的大众你喜欢吃机油我大不了多加几次，1.2年的小米你你当场爆炸我是真的受不了。,1,2025-10-16 10:19:00,支持
BBOYSakura,请想问一下哈佛大狗这个车的安全性咋样，对比星越l，博越l.和瑞虎这种。我在这几个中纠结,1,2025-10-16 01:33:38,支持
哔事可乐wa,车是有问题，但是最主要的问题是酒驾！你不知道他什么时候酒驾开那么快去撞行人,1,2025-10-16 00:48:15,支持
伊人造物,人本来能活，但是门打不开，就被活活烧死了,1,2025-10-16 00:30:46,反对
追风滚草,现在还有没有能补极氪定金的车企？[脱单doge]不想要了，想换。（只知道蔚来，但是有点贵）,1,2025-10-15 21:56:28,中立
哄懵,怎么没人关心,1,2025-10-15 20:17:16,支持
艾小丁S,省流，三个救援的责任，不是你点的火你为什么要救[吃瓜],1,2025-10-19 10:34:56,反对
爱读书的阿方,我只能说，虽然酒驾，但这起事故没撞人，罪不至死，我觉得造车还是要对安全有敬畏之心，高马力激进的设计就是安全在让步，小米不应该拼速度而是拼安全，能保护车内人员的车才是好车，而不是跑得快长得帅功能越多，一旦涉及到生命安全，再好的设计都是虚的，再好的销量都会反噬，我只能说雷总造车不比造手机，手机一堆 bug 没问题，汽车一个 bug 就关乎人命，敬畏生命才是造车的最终目的[保佑],1,2025-10-18 00:00:46,支持
初六履霜,被烧的时候在惨叫,1,2025-10-17 05:14:53,中立
家门口走丢找不到家,他是贷款买车的，本身给别人打工，不是特别富有的家庭。,1,2025-10-16 22:16:58,支持
猪弑顺利,自动清除了系统，把喝酒飙车的垃圾清除了。,1,2025-10-16 20:52:26,支持
不愿透露姓名的唐某,当初一直有人说特斯拉刹车失灵，现在没人说了，小米要占70%的功劳,1,2025-10-16 15:13:29,支持
bili_75952367541,全国有多少个品牌的电车每天有多少车辆发生车祸又有多少电车发生车祸为什么我所能看见的只有小米别的我为什么一个都没看见呀？,1,2025-10-16 14:10:41,支持
弱鸡会喊666丶,☀：说半天能耽误我一秒钟的健身时间吗？[doge],1,2025-10-16 14:05:59,支持
舵头大舰长,[doge_金箍],1,2025-10-16 13:20:45,中立
小王子的b站,[支持][支持][支持],1,2025-10-16 12:39:08,中立
JustStory_IIIIC,不成熟的企业遭造了一个不成熟的产品，卖给了不成熟的消费者,1,2025-10-16 10:35:24,反对
17代铁胆神猴,为什么重新发一次？被小米法务警告了吗,1,2025-10-16 07:27:28,支持
优雅的胖子moses,超哥大学学的是说书专业吗？？,1,2025-10-15 22:09:23,支持
正在躺尸的咸鱼,200km/h的速度，车灯完好，四周车身微脏。这个事故前5s最高速度很灵性，刹车什么的完全不提，造成200速度直接撞击的错觉,1,2025-10-15 21:19:42,支持
cquptwx,买车首要考虑安全,1,2025-10-15 20:29:35,反对
一木之柏,开小米汽车，享受人生一条龙服务[doge],1,2025-10-15 20:21:21,支持
正大刘正,车着火门打不开就是车的问题,1,2025-10-15 20:17:07,支持
红温今天退役了,车也有问题，人也有问题，但负责任的说，有问题的人就喜欢买他这款车。,1,2025-10-15 20:05:31,支持
_诚实可靠小郎君,现在到底是只有小米不安全，还是电车都不安全，我爸不让我买电车，但我一直挺想买一辆的,500,2025-10-16 05:56:13,反对
睡不醒的困困包,符合刻板形象，主播不敢说，怕接官司，所以我也不说，你喜欢一叶障目那就这样吧,1,2025-10-17 16:27:18,反对
dy号商顺风,可惜不是军开的，要是军开的肯定没事，军能200公里瞬间刹停,1,2025-10-17 15:39:59,支持
御手洗靖无咎让陈默弗朗西斯科,UP主的颜值如果去成都的话...[doge_金箍],1,2025-10-16 14:54:47,支持
逗萝大陆之龙王传说,竟然没有安全锤链接？超哥才是不赚钱拍视频给大家看，和大家交个朋友[doge_金箍],1,2025-10-16 08:02:44,反对
碎不着咋办,200km/h速度撞上去，新国标也不能保证不快速燃烧，2h内不烧只能看运气。 新国标是有速度标准的。 但是小米没有机械门把手确实煞币的不行。 还有就是没有机械切断电机运转的车，反正我不买,1,2025-10-18 08:55:16,支持
大小鋅,这视频，国标都说多少次了，问题国标不烧的速度是60呀，不提的吗？,17,2025-10-16 22:51:36,支持
淮扬-许仙,我当时在场就好了，我车上备有破窗锤，说不定就可以救他了,5,2025-10-16 17:40:36,中立
苕面窝7364,下车了[笑哭],1,2025-10-15 21:24:37,中立
_--_-火鸡味锅巴-_--_,沙县小吃：鸡腿饭15元。 雷米：米饭+鸡腿+青菜+香干+卤蛋+免费各种调味料+空调+餐巾纸+筷子+小碗+地板+水+天然气+桌子+椅子+味精+鸡精+盐+地沟油+耗油+十三香+油烟机+人工+电费，一起只要15元哦![doge],5,2025-11-07 15:54:59,支持
动心轩,去救人的才惨，硬生生看着人没了，心里阴影挺大的，有点心软甚至会一直想怎么没救下来,7,2025-10-16 04:59:57,支持
恒楚小霸王,就算他酒驾了，该不该救？他就该活活被烧死？整个事件就是电池不过关这么快就爆燃了，没有给救援人员更多时间。 车门没有做机械机构，导致全车断电无法开门，当车窗敲开的时候，车爆燃了根本没时间来救人了。这不是偶然，这就是设计问题。现在都只敢说酒驾？只字不敢提门的问题。如果不召回升级，我看看下一个受害者又是谁。,61,2025-10-15 20:25:22,支持
木于每,人是傻叉，酒后驾驶，飙车，但车门打不开，自燃，这就车问题,33,2025-10-16 12:59:14,支持
-彩-虹-桥,点不了赞，救人的小伙子们号都被封了[笑哭],4,2025-10-16 12:59:38,中立
丶小抽,超哥求生欲极强[笑哭][笑哭][笑哭],2,2025-10-17 18:45:06,中立
Q顺通,小米出问题赖所有车企？,1,2025-10-17 07:29:24,支持
czarzoe,酒驾，审判他的应该是司法机关，而不是车门,4,2025-10-16 14:55:09,支持
小咪服务-维护雨田君,撞车后，小爱同学精准判断这个米粉是酒驾，为了不让他继续害人，下达指令严锁车门。,1168,2025-10-16 03:51:20,支持
游学者丶装茶,不建议普通人买小米，核心原因保险费普通人承受不住,8,2025-10-16 12:25:32,反对
Chiho_Lin,注重安全的车企都快被追求猎奇的车企挤压死了，比如沃尔沃[辣眼睛][辣眼睛][辣眼睛],2,2025-10-21 00:01:54,支持
I号C型驾驶员,5个大小伙子都没打开车门，小米车主有福了,2,2025-10-17 07:13:19,支持
-浮白,老老实实先买油车，等技术再成熟点再说,53,2025-10-17 00:31:11,反对
V酱不会轻易狗带,并非当场死亡，人还活着被活活烧死的,30,2025-10-17 17:51:58,反对
红烧肥狸,新录的，因为今天有新视频放出来了，门没有损坏也打不开，说白了就是微动车门的问题，但是超哥每次一说到小米的问题，一定要带一句别的新能源车有没有问题，求生欲拉满，说白了小米之所以成为热点，很重要的一点是他的销量遥遥领先，既然这样就没必要再说其他新能源车怎么怎么了，大大方方的承认车有问题就行了[doge],170,2025-10-15 20:18:16,支持
15年老号,[吃瓜],7,2025-10-18 20:31:58,中立
会飞的豆腐干,[OK],11,2025-10-16 08:47:23,中立
-FEDER-,雷大善人在机械开关和隐藏门把手选择了几毛钱一个的微动[笑哭],2,2025-10-17 07:52:14,反对
雨飘霖,真的是一台好车啊，米粉说200公里时速撞护栏的，200公里A柱都没变形，强，无敌,4,2025-10-16 00:03:40,支持
灵少LS,华和米都没逃过电门断电打不开[笑哭],4,2025-10-16 20:03:09,中立
通不认,纯电车门要不得,2,2025-10-17 21:17:53,反对
刘幺幺你大爷的,路上开车也要远离小米，万一碰他车了，本来是个普通交通事故三责险就赔了，但是遇到小米起火打不开门把人烧死了，我是不是还得担刑事责任[微笑][微笑][微笑],2,2025-10-17 09:23:34,反对
千采笺,事儿教人一遍就会，五年内不碰小米产品,27,2025-10-15 22:51:51,中立
这是kkkk,我有亲戚买的小米，但我还是想说一点，小米的用户画像很清晰，就是速度与激情，二十万到三十万的高马力跑车形态只此一家。 大马力不加控制的车速，不太拔尖的操控性能，加上特殊用户画像，铸成了悲剧，死的就是等红绿灯总是看别的车不爽的人，也该是这些人死，因为老老实实开车的人，命不该绝,7,2025-10-20 18:42:36,支持
掠水989,撞击速度200码，你叫超人来都要吐两口血,2,2025-10-17 19:08:07,中立
mynarutom,这个价位段好像只有小米跟特斯拉是这样的,87,2025-10-17 10:00:00,支持
改名小H,su7u是双层夹胶没专业设备很难砸。,3,2025-10-17 11:37:53,支持
papopipopa,你吼那么大声干嘛,1,2025-10-24 05:50:43,中立
贴纸塔可,弹幕能再唐一点吗，涉嫌酒驾基本就是确定了，在收集能一锤定音的证据,1,2025-10-26 18:32:48,支持
油腻的湿姐你在哪里,那么问题来了，小米在此次事故中多了一个骨灰级粉丝，还是少了一位骨灰级粉丝？,2,2025-10-17 19:34:14,支持
你在赣森么呢,车主的死活我们不关心，自己的认知买的东西，死多少都无所谓。我们关心的是有没有伤及到无辜的路人，那个帮忙撞车门的人手肘有没有很严重等等[喽桑-故乡的撒库拉开了2.0_哭喽],18,2025-10-16 01:03:39,支持
子皿九日,很多人没车不了解，现在大部分新能源车都只是隐藏了门把手，注意只是隐藏了门把手，开启依然是纯机械的，你是真的是需要去拉动门把手带动机械连接解锁才能打开门的，区别只是门把手有电动收起和弹出功能（没有电的时候可以手动扣出来，也有些车出厂就没有电动弹出机构，需要一直手动扣出来，比如特斯拉和零跑）。像小米这种纯电子开关的是非常少见的，小米这种属于是取消了门把手，用开关代替了，本质上跟车门上放个按钮没啥区别。,6,2025-10-16 21:12:12,支持
别致丶呀,不是驾驶员的问题，也不是车的问题，是我的问题,2,2025-10-17 11:32:52,支持
惊蛰yun,本把手这点还是byd跟吉利做的让人舒服，吉利银河虽然转电了但是还是保留机械的，看着就舒服，车门把手要有把手，看到那种隐形的就搞笑又丑又不安全，就为了那么点风阻,2,2025-10-16 11:43:16,反对
繁馨赞美诗,磷酸铁锂就是比三元锂安全，比亚迪汽车电池包被井盖撞进去都不烧，换成三元锂肯定不行。很多人说高端车用的都是三元锂，所以就能推论三元锂=高端吗？这得打个问号。至少在家用车上，磷酸铁锂就是安全。,131,2025-10-16 09:24:18,反对
偶倍奇零SAMA,怎么死的不是重点，重点是暴露了新能源市场的哪些问题，国标与行标有待完善的地方，而且国标是最低标准，正常最便宜的电车就超过这个标准好多，大几十万的内部行标应该是远超国标的。以及智能一体化真的可以取代传统机械化吗，如果不为了打价格战而减配，将原有的机械操作结构保留是不是更合适一点,5,2025-10-17 10:43:10,支持
心碎只为伊人-1043,喝酒是驾驶员的不负责 他理所应当要付出责任 但驾驶员已经付出了生命的代价这合理吗？合理是因为撞车当场撞死的吗？ 不合理是因为车没能保护乘员安全 安全带加上气囊是如同虚设吗？车型所称的堆料和设计呢？撞击后的断电导致车门无法正常解锁是正常的嘛？我都不理解了明明一个简单的动作能使用机械解释的定西为什么车企还要煞费苦心去设计 开模 布线等等装配这种他们觉得很有调性和豪华感设计感的开关呢？我很佩服现在国产新势力的崛起 但是我们不能容忍你们在大众看不到的地方偷工减料 画蛇添足的装配消费者根本用不上的东西 注重安全 注重实用 注重实践 产品不是用广告和发布会铺天盖地就能赢得人心和市场的！！！,2,2025-10-17 00:59:42,支持
d鲨鱼辣椒b,笑死，备用蓄电池直接撞掉了，门按了也没反应，相当于电脑没开机的，搁哪儿鼠标狂按,10,2025-10-17 11:11:49,支持
超想转职的职业路人,喝酒固然是愿意之一，但我觉得一撞就着火应该不是肚子里酒喷出来导致的[脱单doge],1,2025-10-25 01:18:38,支持
两斤-栗子,小米热度还是高，山东聊城同样酒驾，伤亡掺重没人讨论,12,2025-10-16 07:56:17,支持
BlueArchive_调月莉音,安全才是最大的豪华，前有油车沃尔沃，后有电车比亚迪,39,2025-10-16 07:53:41,支持
Y徐福姬Y,我不允许你们抹黑小米，不允许你们任何人说它!😡 小米最早出现于中国北方黄河流域，为“五谷”之一，是我国传统的粮食作物，营养价值丰富，富含蛋白质、叶酸、维生素E、类胡萝卜素、硒等营养成分，有助于增强免疫力和促进新陈代谢；富含膳食纤维，可促进消化，预防便秘。并且具有健脾和胃、滋阴养血、清热解毒的功效，常用于调理脾胃虚弱、消化不良等症状。,10,2025-10-16 12:08:47,支持
带着我的祝福-滚,现在听小米su7一堆事，怎么和理想一样，各有各的画风,11,2025-10-16 15:14:34,支持
彩虹GAP,以后会不会有这种人 给另一半买高额意外险 再送一辆XX车给对方[思考],45,2025-10-15 20:52:28,支持
比噗JoNes,我怕我这个滴酒不沾的人，哪天因为车子问题趋势了后被冠于一个涉嫌酒后驾驶怎么办[大哭][思考],23,2025-10-16 18:01:48,支持
尊师孙笑川实名制认证,现在打网约车就没有一个款我会开门的 每次都得问司机 丢死人了 最极端的一款就是个面包车款式的后排踏马的直接没有开门开关 是个侧滑门 需要司机亲自打开才行[笑哭],27,2025-10-17 12:47:05,支持
梦梦娜娜菈菈,既然都喝酒了，那还说啥呀？亖了就亖了呗，对别人不负责，对自己也不负责。,1,2025-10-18 12:46:19,反对
瓶子_musechn的柿子之争,小米汽车的车辆故障是驾驶员喝酒导致的[doge_金箍],4,2025-10-15 20:34:04,支持
我尼不是软脚虾,电子门把手应该属于减配吧，机械结构门把手材料寿命要求应该会更高,13,2025-10-18 00:40:44,反对
很是可爱,看到告诉限速，就想到累总不是还建议国内一些道路解除/放宽限速，说什么有利于赛车文化[吃瓜],13,2025-10-15 22:24:36,支持
魔鬼那椒,国标归国标，这个车一撞就燃了,13,2025-10-16 13:22:29,反对
永远单推加藤惠,烧两次了，第一次没有调查结果，这次会有吗[微笑],5,2025-10-16 11:14:51,支持
佘侈Oi,《气囊弹没弹出来？》《为啥门打不开？》[滑稽][doge],2,2025-10-16 12:54:05,反对
-xxxibgdrgn_,@曾多次婉拒吴世勋 @阿西ba啊啊啊 又有事故？,4,2025-10-16 11:38:22,支持
吾辈敲可爱,怕死所以我选沃尔沃[2233娘_耶],3,2025-10-16 01:22:55,中立
幽弦烟花君,喝车不开酒！,4,2025-10-15 20:29:04,反对
Octokuro,门为什么打不开？,64,2025-10-18 10:47:51,反对
